#class tools::histo::h1d
#title Energy deposited by gammas
#dimension 1
#axis fixed 1400 0 1.4
#annotation axis_x.title 
#bin_number 1402
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1,1,1,0.000168714,2.84643e-08
1,1,1,0.00105134,1.10531e-06
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1621,1621,1621,162.902,16.3709
1665,1665,1665,169.017,17.1573
1621,1621,1621,166.156,17.0314
1706,1706,1706,176.586,18.2783
1636,1636,1636,170.971,17.8675
1623,1623,1623,171.232,18.0657
1549,1549,1549,164.973,17.5701
1595,1595,1595,171.452,18.43
1580,1580,1580,171.434,18.6012
1559,1559,1559,170.694,18.6894
1508,1508,1508,166.644,18.4154
1467,1467,1467,163.567,18.2374
1519,1519,1519,170.872,19.2215
1466,1466,1466,166.397,18.8869
1442,1442,1442,165.111,18.9057
1445,1445,1445,166.895,19.2762
1497,1497,1497,174.396,20.3168
1433,1433,1433,168.358,19.7798
1434,1434,1434,169.928,20.1364
1376,1376,1376,164.432,19.6498
1355,1355,1355,163.293,19.6787
1407,1407,1407,170.932,20.7662
1434,1434,1434,175.652,21.516
1398,1398,1398,172.648,21.3215
1427,1427,1427,177.652,22.1165
1334,1334,1334,167.43,21.0142
1373,1373,1373,173.685,21.9714
1333,1333,1333,169.958,21.6699
1310,1310,1310,168.354,21.6361
1253,1253,1253,162.271,21.0151
1222,1222,1222,159.468,20.8104
1246,1246,1246,163.854,21.5474
1283,1283,1283,170.002,22.5261
1267,1267,1267,169.141,22.5799
1293,1293,1293,173.912,23.3917
1231,1231,1231,166.798,22.6009
1302,1302,1302,177.729,24.2611
1210,1210,1210,166.37,22.8754
1192,1192,1192,165.083,22.8628
1239,1239,1239,172.843,24.1121
1201,1201,1201,168.72,23.7023
1238,1238,1238,175.177,24.7877
1107,1107,1107,157.748,22.4793
1255,1255,1255,180.112,25.8489
1156,1156,1156,167.051,24.1403
1212,1212,1212,176.332,25.6543
1164,1164,1164,170.521,24.9808
1130,1130,1130,166.686,24.588
1162,1162,1162,172.552,25.6233
1097,1097,1097,164.007,24.52
1100,1100,1100,165.537,24.9115
1123,1123,1123,170.127,25.7731
1171,1171,1171,178.58,27.234
1113,1113,1113,170.832,26.2209
1135,1135,1135,175.357,27.0927
1139,1139,1139,177.115,27.5415
1070,1070,1070,167.454,26.2064
1052,1052,1052,165.7,26.0996
1097,1097,1097,173.867,27.5568
1057,1057,1057,168.584,26.8879
1051,1051,1051,168.683,27.0733
1040,1040,1040,167.962,27.1263
1055,1055,1055,171.449,27.8623
1037,1037,1037,169.553,27.7225
1051,1051,1051,172.89,28.4406
1029,1029,1029,170.304,28.1862
1084,1084,1084,180.477,30.048
1041,1041,1041,174.36,29.204
967,967,967,162.942,27.4561
957,957,957,162.215,27.4961
1054,1054,1054,179.697,30.6368
1011,1011,1011,173.379,29.7332
1000,1000,1000,172.497,29.7551
974,974,974,168.995,29.3219
1021,1021,1021,178.137,31.0803
965,965,965,169.354,29.7211
930,930,930,164.132,28.9669
999,999,999,177.306,31.4691
987,987,987,176.166,31.4434
966,966,966,173.408,31.129
956,956,956,172.551,31.1443
878,878,878,159.359,28.9241
968,968,968,176.677,32.2466
1002,1002,1002,183.851,33.7338
963,963,963,177.644,32.77
857,857,857,158.985,29.4938
888,888,888,165.619,30.8895
907,907,907,170.081,31.8939
891,891,891,167.963,31.6628
935,935,935,177.194,33.5806
910,910,910,173.349,33.0219
870,870,870,166.593,31.9003
905,905,905,174.197,33.5301
902,902,902,174.541,33.7746
920,920,920,178.947,34.8068
871,871,871,170.286,33.2921
881,881,881,173.099,34.0104
881,881,881,173.999,34.3652
843,843,843,167.327,33.213
884,884,884,176.364,35.1859
837,837,837,167.812,33.6449
856,856,856,172.492,34.7588
845,845,845,171.122,34.654
852,852,852,173.39,35.2864
799,799,799,163.392,33.4128
828,828,828,170.17,34.9731
826,826,826,170.554,35.2166
840,840,840,174.299,36.167
860,860,860,179.296,37.3804
786,786,786,164.677,34.502
888,888,888,186.919,39.3454
776,776,776,164.116,34.709
795,795,795,168.936,35.8987
802,802,802,171.236,36.5611
839,839,839,179.982,38.6097
828,828,828,178.435,38.453
795,795,795,172.131,37.2696
808,808,808,175.737,38.2221
830,830,830,181.36,39.6283
772,772,772,169.468,37.2015
791,791,791,174.416,38.4588
798,798,798,176.758,39.1521
746,746,746,165.982,36.9305
790,790,790,176.571,39.4648
766,766,766,171.96,38.6037
761,761,761,171.606,38.6973
742,742,742,168.072,38.0703
760,760,760,172.911,39.3397
751,751,751,171.612,39.2152
739,739,739,169.595,38.9206
754,754,754,173.793,40.0583
743,743,743,172.003,39.8184
720,720,720,167.401,38.9208
771,771,771,180.033,42.039
744,744,744,174.461,40.9097
737,737,737,173.563,40.8741
761,761,761,179.985,42.5686
790,790,790,187.619,44.5583
746,746,746,177.915,42.4316
748,748,748,179.137,42.9014
732,732,732,176.052,42.3418
745,745,745,179.917,43.4498
707,707,707,171.441,41.5728
731,731,731,177.987,43.3372
701,701,701,171.389,41.9036
712,712,712,174.789,42.9088
682,682,682,168.116,41.4416
712,712,712,176.221,43.6149
685,685,685,170.229,42.3036
686,686,686,171.169,42.7099
701,701,701,175.601,43.9883
719,719,719,180.828,45.4783
664,664,664,167.659,42.3338
692,692,692,175.425,44.4709
654,654,654,166.436,42.3565
686,686,686,175.275,44.7834
693,693,693,177.759,45.5965
719,719,719,185.142,47.6742
673,673,673,173.961,44.9666
695,695,695,180.347,46.7986
704,704,704,183.4,47.7779
690,690,690,180.421,47.1766
670,670,670,175.867,46.163
657,657,657,173.123,45.6189
678,678,678,179.317,47.4256
684,684,684,181.592,48.2103
657,657,657,175.102,46.6676
663,663,663,177.351,47.4408
659,659,659,176.949,47.5129
642,642,642,173.002,46.6193
656,656,656,177.452,48.0018
660,660,660,179.185,48.6476
663,663,663,180.681,49.2392
642,642,642,175.591,48.0251
641,641,641,175.936,48.2893
630,630,630,173.566,47.8179
617,617,617,170.599,47.1702
614,614,614,170.379,47.2786
656,656,656,182.689,50.8771
653,653,653,182.507,51.0089
592,592,592,166.057,46.5795
639,639,639,179.88,50.6367
624,624,624,176.276,49.797
611,611,611,173.23,49.1139
647,647,647,184.068,52.3665
594,594,594,169.573,48.4094
645,645,645,184.791,52.942
590,590,590,169.635,48.7727
599,599,599,172.819,49.8608
595,595,595,172.239,49.8594
599,599,599,174.011,50.5505
571,571,571,166.444,48.5176
622,622,622,181.938,53.2175
622,622,622,182.543,53.5722
589,589,589,173.469,51.0893
603,603,603,178.176,52.648
600,600,600,177.905,52.7506
616,616,616,183.267,54.524
595,595,595,177.601,53.0119
591,591,591,176.998,53.0093
605,605,605,181.8,54.6304
580,580,580,174.873,52.725
597,597,597,180.597,54.6321
569,569,569,172.698,52.416
588,588,588,179.049,54.5215
