#class tools::histo::h1d
#title Energy deposited by neutrons
#dimension 1
#axis fixed 700 0 0.7
#annotation axis_x.title 
#bin_number 702
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
151,151,151,0.21877,0.000329666
127,127,127,0.312895,0.000782198
129,129,129,0.448174,0.00156983
120,120,120,0.539508,0.00243519
114,114,114,0.630364,0.00349597
103,103,103,0.672792,0.00440327
110,110,110,0.822626,0.00616159
122,122,122,1.0488,0.00902634
108,108,108,1.02347,0.00970771
125,125,125,1.31077,0.0137557
104,104,104,1.19727,0.0137929
125,125,125,1.56482,0.0195985
129,129,129,1.74279,0.0235564
134,134,134,1.94124,0.0281325
117,117,117,1.80939,0.027991
106,106,106,1.74851,0.0288515
116,116,116,2.03405,0.0356774
107,107,107,1.97576,0.0364909
95,95,95,1.85263,0.036136
105,105,105,2.15027,0.0440432
107,107,107,2.30241,0.0495511
119,119,119,2.6781,0.0602804
103,103,103,2.41554,0.0566574
108,108,108,2.64434,0.0647556
112,112,112,2.85664,0.0728696
111,111,111,2.94324,0.0780505
110,110,110,3.02494,0.0831938
118,118,118,3.35949,0.0956557
114,114,114,3.36511,0.0993419
114,114,114,3.48225,0.106378
117,117,117,3.6878,0.116248
131,131,131,4.25725,0.138362
118,118,118,3.95178,0.132354
104,104,104,3.5861,0.123663
114,114,114,4.04804,0.143752
106,106,106,3.87005,0.141304
116,116,116,4.3517,0.163263
124,124,124,4.77748,0.184079
136,136,136,5.37536,0.212471
114,114,114,4.61748,0.187037
122,122,122,5.06525,0.210312
96,96,96,4.0828,0.173646
109,109,109,4.74321,0.206412
110,110,110,4.88874,0.217279
91,91,91,4.13921,0.188284
111,111,111,5.16262,0.240122
100,100,100,4.74768,0.225411
115,115,115,5.58022,0.270783
120,120,120,5.93985,0.294025
126,126,126,6.36139,0.32118
98,98,98,5.04986,0.260224
115,115,115,6.03417,0.316628
113,113,113,6.04536,0.32343
112,112,112,6.10359,0.332631
111,111,111,6.16487,0.342403
117,117,117,6.6066,0.373062
115,115,115,6.60852,0.379771
132,132,132,7.71967,0.451475
108,108,108,6.42751,0.382535
93,93,93,5.6253,0.340266
105,105,105,6.45329,0.396627
109,109,109,6.81023,0.425507
104,104,104,6.60132,0.419023
126,126,126,8.12735,0.524248
106,106,106,6.94753,0.455369
107,107,107,7.11854,0.473593
127,127,127,8.57672,0.579226
119,119,119,8.15295,0.558587
101,101,101,7.02216,0.488234
103,103,103,7.25968,0.511687
95,95,95,6.79135,0.485507
96,96,96,6.96193,0.504888
100,100,100,7.34857,0.540023
105,105,105,7.8201,0.582428
106,106,106,8.00009,0.603798
122,122,122,9.33119,0.713708
116,116,116,8.98974,0.696695
113,113,113,8.86414,0.695346
108,108,108,8.58548,0.682512
122,122,122,9.82276,0.790885
96,96,96,7.82752,0.638238
118,118,118,9.72863,0.802097
121,121,121,10.1021,0.843419
100,100,100,8.45025,0.714077
106,106,106,9.059,0.774213
94,94,94,8.13163,0.703447
116,116,116,10.1479,0.887768
91,91,91,8.0522,0.712511
118,118,118,10.5586,0.94478
97,97,97,8.77981,0.794699
114,114,114,10.4356,0.955285
108,108,108,9.98576,0.923301
101,101,101,9.44326,0.88293
107,107,107,10.1047,0.954257
102,102,102,9.73721,0.92955
99,99,99,9.55394,0.922006
115,115,115,11.2165,1.09401
96,96,96,9.45932,0.932077
127,127,127,12.6351,1.25706
109,109,109,10.9564,1.10131
103,103,103,10.4494,1.06011
91,91,91,9.32517,0.955599
96,96,96,9.94008,1.02923
98,98,98,10.2347,1.06888
112,112,112,11.8202,1.24747
118,118,118,12.5645,1.33786
91,91,91,9.78014,1.05112
110,110,110,11.9369,1.29537
101,101,101,11.0651,1.21225
97,97,97,10.7169,1.18405
93,93,93,10.3709,1.15652
103,103,103,11.5902,1.3042
95,95,95,10.7821,1.22374
101,101,101,11.5665,1.3246
105,105,105,12.1318,1.40172
86,86,86,10.0224,1.16802
82,82,82,9.63977,1.13324
112,112,112,13.2741,1.57324
102,102,102,12.1949,1.458
98,98,98,11.8074,1.42261
101,101,101,12.2644,1.48928
85,85,85,10.4059,1.27392
85,85,85,10.4964,1.29619
107,107,107,13.3199,1.65815
110,110,110,13.8055,1.73266
122,122,122,15.4364,1.95315
116,116,116,14.7883,1.88529
121,121,121,15.551,1.99865
119,119,119,15.4126,1.9962
96,96,96,12.5345,1.63661
102,102,102,13.4117,1.76346
111,111,111,14.7096,1.94932
112,112,112,14.9552,1.99696
107,107,107,14.3904,1.93536
101,101,101,13.6847,1.85418
95,95,95,12.9694,1.77059
95,95,95,13.0653,1.79687
124,124,124,17.1758,2.37911
105,105,105,14.6421,2.04184
122,122,122,17.1412,2.40837
104,104,104,14.7191,2.08319
96,96,96,13.6831,1.95028
107,107,107,15.3534,2.20307
104,104,104,15.0297,2.17203
78,78,78,11.3467,1.65062
104,104,104,15.2372,2.23242
119,119,119,17.5568,2.59028
97,97,97,14.4046,2.1391
114,114,114,17.0407,2.54726
96,96,96,14.4502,2.1751
99,99,99,14.9947,2.27113
99,99,99,15.1013,2.30354
88,88,88,13.5108,2.07435
90,90,90,13.9091,2.14959
111,111,111,17.2594,2.68367
101,101,101,15.808,2.47421
118,118,118,18.5886,2.92828
102,102,102,16.1666,2.56234
90,90,90,14.3569,2.29022
74,74,74,11.8782,1.90665
95,95,95,15.345,2.47863
94,94,94,15.2806,2.48403
108,108,108,17.6576,2.88696
83,83,83,13.6555,2.24666
91,91,91,15.061,2.49268
104,104,104,17.3181,2.88381
114,114,114,19.0973,3.1992
101,101,101,17.0179,2.86741
93,93,93,15.7647,2.67233
87,87,87,14.8336,2.52916
86,86,86,14.749,2.52947
87,87,87,15.0125,2.59052
117,117,117,20.2989,3.52177
103,103,103,17.9747,3.1368
91,91,91,15.9726,2.80355
92,92,92,16.2358,2.86522
105,105,105,18.6413,3.30953
102,102,102,18.2076,3.25018
91,91,91,16.3368,2.93286
81,81,81,14.6198,2.63875
