#class tools::histo::h1d
#title Energy deposited by gammas
#dimension 1
#axis fixed 280 0 1.4
#annotation axis_x.title 
#bin_number 282
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
992,992,992,2.43784,0.00806636
1009,1009,1009,7.58479,0.0591632
1010,1010,1010,12.6235,0.159852
1004,1004,1004,17.5556,0.308996
977,977,977,22.0411,0.499395
1008,1008,1008,27.6552,0.760785
990,990,990,32.254,1.05287
952,952,952,35.7052,1.34106
1031,1031,1031,43.8574,1.86774
949,949,949,45.1009,2.14545
945,945,945,49.567,2.6019
962,962,962,55.3078,3.18177
1001,1001,1001,62.6128,3.91851
928,928,928,62.636,4.22959
987,987,987,71.5126,5.18355
945,945,945,73.2631,5.68174
938,938,938,77.3752,6.38459
956,956,956,83.5885,7.31061
960,960,960,88.7386,8.2046
943,943,943,91.9524,8.96835
978,978,978,100.291,10.2866
919,919,919,98.8686,10.6385
972,972,972,109.339,12.3014
957,957,957,112.426,13.2094
956,956,956,117.093,14.3436
933,933,933,118.963,15.1705
928,928,928,122.947,16.2908
896,896,896,123.263,16.9591
878,878,878,125.166,17.8451
880,880,880,129.813,19.1513
893,893,893,136.187,20.771
944,944,944,148.726,23.4336
915,915,915,148.657,24.1538
957,957,957,160.272,26.8432
998,998,998,172.177,29.7065
974,974,974,172.946,30.7109
921,921,921,168.123,30.6916
944,944,944,177.012,33.194
856,856,856,164.776,31.7202
886,886,886,175.006,34.5696
923,923,923,186.904,37.8492
953,953,953,197.693,41.0121
857,857,857,182.053,38.6754
880,880,880,191.394,41.6287
863,863,863,191.983,42.7102
897,897,897,204.082,46.4336
976,976,976,226.91,52.7563
888,888,888,210.931,50.1055
907,907,907,219.916,53.3239
900,900,900,222.672,55.094
863,863,863,217.93,55.035
885,885,885,227.878,58.678
914,914,914,239.929,62.9843
900,900,900,240.756,64.4059
857,857,857,233.519,63.6321
895,895,895,248.338,68.9088
880,880,880,248.636,70.2515
894,894,894,256.981,73.8711
807,807,807,236.049,69.0466
873,873,873,259.743,77.2828
871,871,871,263.414,79.6654
882,882,882,271.231,83.4102
