#class tools::histo::h1d
#title Number of scintillation + cerenkov photons
#dimension 1
#axis fixed 280 0 1.4
#annotation axis_x.title 
#bin_number 282
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1002,1002,1002,2.46033,0.00819586
1006,1006,1006,7.56415,0.0589355
1010,1010,1010,12.6102,0.159586
991,991,991,17.3607,0.306131
987,987,987,22.2038,0.501569
975,975,975,26.7979,0.738614
975,975,975,31.6807,1.03152
976,976,976,36.5588,1.37142
1009,1009,1009,42.7745,1.81536
957,957,957,45.4328,2.15891
975,975,975,51.1415,2.68452
903,903,903,51.8741,2.98187
1019,1019,1019,63.6143,3.97356
920,920,920,62.0348,4.18474
972,972,972,70.398,5.10061
979,979,979,75.8976,5.88602
943,943,943,77.8015,6.42097
974,974,974,85.2698,7.467
953,953,953,88.1144,8.14907
890,890,890,86.8275,8.47269
986,986,986,101.051,10.3586
928,928,928,99.7611,10.7264
1002,1002,1002,112.723,12.6832
945,945,945,111.02,13.0447
948,948,948,116.119,14.2254
906,906,906,115.487,14.7229
933,933,933,123.62,16.3815
842,842,842,115.818,15.9326
916,916,916,130.536,18.6041
897,897,897,132.289,19.5119
871,871,871,132.828,20.2583
941,941,941,148.168,23.3323
930,930,930,151.097,24.5505
948,948,948,158.79,26.5994
984,984,984,169.705,29.27
943,943,943,167.31,29.6866
955,955,955,174.306,31.8161
903,903,903,169.286,31.7378
860,860,860,165.522,31.8595
868,868,868,171.383,33.8408
949,949,949,192.175,38.9178
931,931,931,193.131,40.0658
886,886,886,188.237,39.9943
840,840,840,182.739,39.7557
862,862,862,191.773,42.6666
852,852,852,193.739,44.0565
969,969,969,225.308,52.3897
886,886,886,210.409,49.9701
894,894,894,216.817,52.5856
887,887,887,219.537,54.3385
889,889,889,224.396,56.6425
887,887,887,228.373,58.8003
882,882,882,231.567,60.799
865,865,865,231.287,61.844
825,825,825,224.745,61.2267
848,848,848,235.268,65.2744
882,882,882,249.125,70.3682
869,869,869,249.892,71.8612
865,865,865,253.007,74.0047
787,787,787,234.14,69.6605
869,869,869,262.816,79.4865
832,832,832,255.748,78.616
907,907,907,283.413,88.5605
871,871,871,276.461,87.7525
821,821,821,264.693,85.3396
934,934,934,305.891,100.183
858,858,858,285.256,94.8398
867,867,867,292.594,98.7462
879,879,879,300.952,103.042
866,866,866,300.905,104.556
809,809,809,285.147,100.507
789,789,789,282.043,100.823
864,864,864,313.133,113.488
876,876,876,321.896,118.286
865,865,865,322.208,120.022
878,878,878,331.435,125.115
877,877,877,335.473,128.328
852,852,852,330.102,127.898
879,879,879,345.059,135.458
847,847,847,336.617,133.781
865,865,865,348.135,140.115
888,888,888,361.844,147.447
820,820,820,338.277,139.552
867,867,867,361.963,151.117
840,840,840,354.902,149.949
875,875,875,374.115,159.958
846,846,846,365.8,158.169
818,818,818,357.854,156.553
842,842,842,372.577,164.864
830,830,830,371.448,166.235
867,867,867,392.329,177.536
843,843,843,385.676,176.45
861,861,861,398.148,184.116
844,844,844,394.525,184.421
799,799,799,377.454,178.314
815,815,815,389.181,185.845
847,847,847,408.691,197.202
848,848,848,413.347,201.482
851,851,851,419.021,206.322
833,833,833,414.326,206.084
849,849,849,426.72,214.477
829,829,829,420.649,213.447
821,821,821,420.767,215.647
845,845,845,437.256,226.266
837,837,837,437.312,228.486
862,862,862,454.677,239.829
882,882,882,469.674,250.108
870,870,870,467.678,251.407
854,854,854,463.264,251.306
889,889,889,486.713,266.47
861,861,861,475.792,262.927
825,825,825,459.943,256.423
851,851,851,478.684,269.26
790,790,790,448.23,254.318
851,851,851,487.105,278.816
870,870,870,502.445,290.175
864,864,864,503.232,293.106
864,864,864,507.575,298.188
818,818,818,484.731,287.244
921,921,921,550.283,328.788
874,874,874,526.532,317.205
867,867,867,526.594,319.842
862,862,862,527.909,323.305
832,832,832,513.74,317.225
912,912,912,567.653,353.324
851,851,851,533.991,335.074
909,909,909,574.913,363.616
877,877,877,559.085,356.417
821,821,821,527.5,338.925
834,834,834,540.092,349.761
860,860,860,561.11,366.1
875,875,875,575.258,378.198
891,891,891,590.207,390.961
893,893,893,596.047,397.843
845,845,845,568.238,382.126
806,806,806,546.011,369.887
938,938,938,640.174,436.913
870,870,870,598.141,411.235
939,939,939,650.23,450.267
875,875,875,610.289,425.662
859,859,859,603.409,423.869
893,893,893,631.908,447.154
855,855,855,609.211,434.082
866,866,866,621.392,445.878
932,932,932,673.296,486.405
906,906,906,659.002,479.343
906,906,906,663.679,486.171
904,904,904,666.768,491.794
888,888,888,659.325,489.539
886,886,886,662.259,495.021
975,975,975,733.597,551.965
936,936,936,709.01,537.07
1004,1004,1004,765.551,583.736
979,979,979,751.353,576.643
1025,1025,1025,791.849,611.733
917,917,917,712.961,554.325
985,985,985,770.743,603.094
943,943,943,742.577,584.753
995,995,995,788.464,624.801
932,932,932,743.233,592.701
973,973,973,780.776,626.53
976,976,976,788.028,636.261
1000,1000,1000,812.427,660.039
982,982,982,802.71,656.157
979,979,979,805.19,662.24
933,933,933,772.005,638.792
1048,1048,1048,872.522,726.428
1002,1002,1002,839.124,702.726
1062,1062,1062,894.721,753.793
1110,1110,1110,940.635,797.114
1066,1066,1066,908.745,774.691
1133,1133,1133,971.57,833.144
1063,1063,1063,916.729,790.587
1059,1059,1059,918.563,796.752
1070,1070,1070,933.535,814.477
1058,1058,1058,928.449,814.763
1081,1081,1081,954,841.924
1065,1065,1065,945.157,838.801
1135,1135,1135,1012.98,904.075
1141,1141,1141,1023.89,918.795
1236,1236,1236,1115.35,1006.48
1214,1214,1214,1101.7,999.79
1191,1191,1191,1086.87,991.849
1213,1213,1213,1112.95,1021.15
1245,1245,1245,1148.64,1059.75
1299,1299,1299,1204.79,1117.42
1230,1230,1230,1146.86,1069.34
1291,1291,1291,1210.32,1134.69
1354,1354,1354,1276.14,1202.76
1304,1304,1304,1235.44,1170.48
1379,1379,1379,1313.49,1251.09
1441,1441,1441,1379.83,1321.27
1381,1381,1381,1329.19,1279.32
1468,1468,1468,1420.29,1374.14
1506,1506,1506,1464.68,1424.5
1528,1528,1528,1493.48,1459.75
1625,1625,1625,1596.62,1568.74
1644,1644,1644,1623.72,1603.7
1567,1567,1567,1555.28,1543.65
1643,1643,1643,1639.03,1635.08
1604,1604,1604,1608.06,1612.14
1778,1778,1778,1791.3,1804.7
1849,1849,1849,1872.13,1895.54
1798,1798,1798,1829.51,1861.58
1900,1900,1900,1942.84,1986.65
1927,1927,1927,1980.09,2034.64
2044,2044,2044,2110.31,2178.78
2129,2129,2129,2208.83,2291.67
2125,2125,2125,2215.3,2309.43
2263,2263,2263,2370.46,2483.02
2148,2148,2148,2260.79,2379.5
2053,2053,2053,2170.97,2295.72
1785,1785,1785,1896.55,2015.07
1613,1613,1613,1721.69,1837.72
1333,1333,1333,1429.48,1532.95
963,963,963,1037.54,1117.85
759,759,759,821.417,888.969
695,695,695,755.762,821.838
598,598,598,653.262,713.632
520,520,520,570.685,626.312
531,531,531,585.419,645.416
520,520,520,575.879,637.763
505,505,505,561.779,624.944
457,457,457,510.661,570.623
498,498,498,559.027,627.535
453,453,453,510.701,575.752
453,453,453,512.996,580.939
429,429,429,488.014,555.147
390,390,390,445.574,509.069
380,380,380,436.026,500.313
335,335,335,386.122,445.046
304,304,304,351.863,407.263
243,243,243,282.481,328.378
190,190,190,221.866,259.077
177,177,177,207.534,243.335
168,168,168,197.783,232.847
117,117,117,138.321,163.528
83,83,83,98.5587,117.034
88,88,88,104.93,125.118
68,68,68,81.4085,97.4611
54,54,54,64.9354,78.0853
34,34,34,41.0528,49.5686
18,18,18,21.8235,26.4592
20,20,20,24.3427,29.6283
4,4,4,4.88886,5.97525
6,6,6,7.36512,9.04085
3,3,3,3.69659,4.55492
1,1,1,1.2374,1.53115
1,1,1,1.24089,1.53982
1,1,1,1.24959,1.56148
0,0,0,0,0
0,0,0,0,0
5,5,5,6.31553,7.97719
1,1,1,1.26772,1.60712
2,2,2,2.54561,3.24007
6,6,6,7.66285,9.78654
1,1,1,1.28244,1.64465
5,5,5,6.43537,8.2828
1,1,1,1.29431,1.67524
1,1,1,1.29504,1.67713
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
