#class tools::histo::h1d
#title Energy deposited by gammas
#dimension 1
#axis fixed 140 0 0.7
#annotation axis_x.title 
#bin_number 142
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
2897,2897,2897,7.40592,0.0248027
2883,2883,2883,21.536,0.166738
2916,2916,2916,36.4509,0.461764
2805,2805,2805,49.2441,0.870338
2897,2897,2897,65.2771,1.47694
2856,2856,2856,78.4442,2.16041
2784,2784,2784,90.5096,2.94824
2930,2930,2930,109.842,4.12382
2779,2779,2779,118.174,5.03101
2789,2789,2789,132.605,6.31062
2816,2816,2816,147.858,7.76921
2805,2805,2805,161.21,9.27117
2680,2680,2680,167.5,10.4744
2783,2783,2783,188.027,12.7094
2643,2643,2643,191.49,13.8793
2821,2821,2821,218.45,16.9219
2646,2646,2646,218.24,18.0057
2703,2703,2703,236.556,20.7082
2710,2710,2710,250.703,23.1985
2689,2689,2689,262.214,25.5751
2548,2548,2548,261.052,26.7512
2654,2654,2654,285.308,30.6765
2597,2597,2597,292.262,32.896
2599,2599,2599,305.242,35.8549
2584,2584,2584,316.461,38.7622
2516,2516,2516,320.848,40.9207
2524,2524,2524,334.508,44.3377
2499,2499,2499,343.611,47.2515
2468,2468,2468,351.715,50.1281
2446,2446,2446,360.831,53.2346
2460,2460,2460,374.976,57.1626
2488,2488,2488,391.844,61.718
2523,2523,2523,409.979,66.6256
2514,2514,2514,421.196,70.5727
2452,2452,2452,422.979,72.9704
2401,2401,2401,426.164,75.6468
2408,2408,2408,439.448,80.2021
2410,2410,2410,451.947,84.7583
2473,2473,2473,476.107,91.6665
2483,2483,2483,490.309,96.8245
2368,2368,2368,479.595,97.1383
2378,2378,2378,493.433,102.392
2404,2404,2404,510.872,108.57
2399,2399,2399,521.8,113.5
2365,2365,2365,526.325,117.137
2320,2320,2320,527.763,120.062
2443,2443,2443,567.962,132.048
2347,2347,2347,557.43,132.399
2350,2350,2350,569.879,138.202
2327,2327,2327,576.035,142.599
2362,2362,2362,596.489,150.639
2328,2328,2328,599.536,154.405
2332,2332,2332,612.117,160.677
2417,2417,2417,646.572,172.969
2315,2315,2315,630.93,171.959
2342,2342,2342,649.887,180.344
2405,2405,2405,679.4,191.932
2341,2341,2341,673.066,193.52
2232,2232,2232,652.888,190.983
2310,2310,2310,687.27,204.481
2371,2371,2371,717.19,216.943
2420,2420,2420,744.048,228.769
2278,2278,2278,711.939,222.506
2454,2454,2454,779.202,247.42
2491,2491,2491,803.356,259.09
2431,2431,2431,796.216,260.787
2489,2489,2489,827.53,275.138
2385,2385,2385,805.007,271.719
2485,2485,2485,851.159,291.543
2555,2555,2555,887.942,308.593
2550,2550,2550,898.851,316.842
2599,2599,2599,929.086,332.133
2632,2632,2632,953.979,345.779
2672,2672,2672,981.99,360.898
2677,2677,2677,997.235,371.495
2860,2860,2860,1079.5,407.464
2895,2895,2895,1107.45,423.652
2839,2839,2839,1100.22,426.381
3016,3016,3016,1183.81,464.661
3055,3055,3055,1214.49,482.815
3025,3025,3025,1217.61,490.116
3194,3194,3194,1301.47,530.317
3315,3315,3315,1367.46,564.09
3489,3489,3489,1456.65,608.154
3638,3638,3638,1537.14,649.486
3626,3626,3626,1550.22,662.769
3842,3842,3842,1661.57,718.592
4017,4017,4017,1757.55,768.988
4084,4084,4084,1807.21,799.714
4426,4426,4426,1980.58,886.291
4603,4603,4603,2083.05,942.673
4723,4723,4723,2160.94,988.713
5133,5133,5133,2373.9,1097.88
5298,5298,5298,2476.84,1157.95
5656,5656,5656,2672.54,1262.82
3796,3796,3796,1810.8,863.806
1601,1601,1601,772.329,372.578
1451,1451,1451,707.287,344.768
1316,1316,1316,648.153,319.229
1275,1275,1275,634.296,315.557
1172,1172,1172,588.842,295.851
1073,1073,1073,544.55,276.363
1101,1101,1101,564.234,289.157
1104,1104,1104,571.378,295.72
1095,1095,1095,572.173,298.982
947,947,947,499.539,263.506
929,929,929,494.698,263.432
862,862,862,463.245,248.953
838,838,838,454.547,246.557
737,737,737,403.456,220.865
530,530,530,292.741,161.694
406,406,406,226.293,126.131
342,342,342,192.351,108.184
343,343,343,194.615,110.423
262,262,262,149.984,85.8602
210,210,210,121.248,70.006
148,148,148,86.1987,50.2045
111,111,111,65.1997,38.2976
81,81,81,47.9774,28.4178
53,53,53,31.648,18.8982
26,26,26,15.6478,9.41748
15,15,15,9.10526,5.52707
7,7,7,4.27922,2.61597
7,7,7,4.32655,2.67416
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
41,41,41,27.1401,17.9655
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
