#class tools::histo::h1d
#title Number of scintillation + cerenkov photons
#dimension 1
#axis fixed 140 0 0.7
#annotation axis_x.title 
#bin_number 142
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
2909,2909,2909,7.34732,0.0245885
2884,2884,2884,21.482,0.166074
2914,2914,2914,36.4179,0.46127
2777,2777,2777,48.4966,0.852718
2944,2944,2944,66.2354,1.49641
2808,2808,2808,77.0498,2.11993
2789,2789,2789,90.4941,2.94218
2890,2890,2890,108.234,4.0594
2815,2815,2815,119.558,5.08387
2753,2753,2753,130.576,6.19885
2876,2876,2876,150.878,7.92126
2762,2762,2762,158.724,9.12701
2745,2745,2745,171.499,10.7206
2698,2698,2698,182.03,12.2871
2775,2775,2775,201.036,14.57
2685,2685,2685,207.962,16.1128
2730,2730,2730,225.161,18.5765
2682,2682,2682,234.622,20.5303
2702,2702,2702,249.911,23.1202
2671,2671,2671,260.32,25.3766
2602,2602,2602,266.638,27.3291
2546,2546,2546,273.716,29.4319
2630,2630,2630,295.649,33.2405
2596,2596,2596,304.91,35.8183
2600,2600,2600,318.508,39.0237
2474,2474,2474,315.396,40.213
2583,2583,2583,342.303,45.368
2513,2513,2513,345.476,47.4994
2481,2481,2481,353.54,50.3844
2383,2383,2383,351.406,51.8245
2511,2511,2511,382.843,58.3759
2481,2481,2481,390.683,61.526
2522,2522,2522,409.902,66.627
2486,2486,2486,416.318,69.7238
2457,2457,2457,423.694,73.0687
2365,2365,2365,419.794,74.5194
2408,2408,2408,439.531,80.2327
2400,2400,2400,449.816,84.3111
2413,2413,2413,464.493,89.418
2461,2461,2461,485.888,95.9363
2413,2413,2413,488.675,98.9705
2333,2333,2333,484.064,100.441
2402,2402,2402,510.393,108.457
2349,2349,2349,510.842,111.099
2344,2344,2344,521.529,116.043
2292,2292,2292,521.355,118.596
2386,2386,2386,554.645,128.937
2311,2311,2311,548.853,130.355
2311,2311,2311,560.388,135.892
2346,2346,2346,580.641,143.715
2298,2298,2298,580.326,146.558
2288,2288,2288,589.101,151.683
2413,2413,2413,633.429,166.285
2277,2277,2277,609.07,162.923
2329,2329,2329,634.585,172.911
2262,2262,2262,627.725,174.204
2370,2370,2370,669.561,189.166
2341,2341,2341,673.036,193.502
2212,2212,2212,647.042,189.274
2325,2325,2325,691.702,205.791
2285,2285,2285,691.148,209.058
2275,2275,2275,699.493,215.078
2306,2306,2306,720.722,225.261
2329,2329,2329,739.35,234.714
2455,2455,2455,791.678,255.302
2408,2408,2408,788.623,258.28
2438,2438,2438,810.595,269.515
2346,2346,2346,791.721,267.193
2457,2457,2457,841.405,288.146
2447,2447,2447,850.304,295.476
2530,2530,2530,891.862,314.4
2515,2515,2515,899.05,321.393
2619,2619,2619,949.313,344.104
2554,2554,2554,938.564,344.916
2563,2563,2563,954.637,355.578
2747,2747,2747,1036.91,391.411
2796,2796,2796,1069.39,409.02
2693,2693,2693,1043.45,404.308
2886,2886,2886,1132.71,444.576
2861,2861,2861,1137.29,452.095
3005,3005,3005,1209.39,486.737
3104,3104,3104,1264.82,515.392
3122,3122,3122,1287.75,531.174
3215,3215,3215,1342.09,560.255
3447,3447,3447,1456.2,615.189
3483,3483,3483,1488.88,636.462
3724,3724,3724,1610.6,696.578
3622,3622,3622,1584.53,693.193
3929,3929,3929,1738.75,769.475
4121,4121,4121,1844.14,825.258
4214,4214,4214,1906.87,862.887
4400,4400,4400,2013.05,921.003
4790,4790,4790,2215.46,1024.7
4700,4700,4700,2197.3,1027.27
5232,5232,5232,2472.01,1167.98
4729,4729,4729,2257.86,1078.03
3888,3888,3888,1875.36,904.581
2719,2719,2719,1324.99,645.686
1879,1879,1879,925.086,455.45
1397,1397,1397,695.012,345.774
1238,1238,1238,622.065,312.575
1167,1167,1167,592.156,300.473
1129,1129,1129,578.635,296.564
1080,1080,1080,558.824,289.154
1026,1026,1026,536.015,280.033
1018,1018,1018,536.988,283.259
970,970,970,516.47,274.993
880,880,880,472.964,254.201
840,840,840,455.641,247.155
793,793,793,434.169,237.71
672,672,672,371.217,205.064
576,576,576,321.088,178.99
472,472,472,265.451,149.289
362,362,362,205.406,116.553
283,283,283,162.001,92.7369
257,257,257,148.441,85.7384
251,251,251,146.179,85.1335
143,143,143,84.0189,49.3652
106,106,106,62.7573,37.1557
76,76,76,45.3974,27.1176
62,62,62,37.351,22.5017
38,38,38,23.0571,13.9903
14,14,14,8.57252,5.24917
8,8,8,4.94211,3.05308
6,6,6,3.73285,2.32237
5,5,5,3.13756,1.96886
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.649593,0.421972
1,1,1,0.653984,0.427695
0,0,0,0,0
10,10,10,6.62862,4.39388
11,11,11,7.34675,4.9068
9,9,9,6.04878,4.06532
5,5,5,3.37894,2.28345
3,3,3,2.04301,1.39129
1,1,1,0.686179,0.470841
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
