#class tools::histo::h1d
#title Energy deposited by gammas
#dimension 1
#axis fixed 280 0 1.4
#annotation axis_x.title 
#bin_number 282
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1000,1000,1000,2.49904,0.00830589
1016,1016,1016,7.61109,0.0590683
991,991,991,12.3604,0.15629
1029,1029,1029,18,0.317059
976,976,976,21.9779,0.497009
984,984,984,27.1015,0.748453
981,981,981,31.9069,1.03976
944,944,944,35.4723,1.33491
953,953,953,40.5229,1.72517
924,924,924,43.8739,2.08513
951,951,951,49.947,2.62532
997,997,997,57.3378,3.29958
991,991,991,61.8215,3.85851
958,958,958,64.5978,4.35785
978,978,978,70.8647,5.13687
941,941,941,72.8784,5.6463
981,981,981,80.9146,6.67604
900,900,900,78.7929,6.89998
973,973,973,90.0245,8.33134
977,977,977,95.2358,9.28536
953,953,953,97.6319,10.0042
921,921,921,99.0523,10.6548
962,962,962,108.179,12.167
905,905,905,106.418,12.5155
963,963,963,117.978,14.4557
941,941,941,120.03,15.3124
942,942,942,124.864,16.553
921,921,921,126.693,17.4298
922,922,922,131.41,18.7313
977,977,977,144.037,21.2371
907,907,907,138.355,21.1068
945,945,945,148.899,23.4632
895,895,895,145.454,23.6409
958,958,958,160.487,26.8872
969,969,969,167.221,28.8594
876,876,876,155.423,27.5775
907,907,907,165.49,30.1971
966,966,966,181.16,33.9762
948,948,948,182.435,35.1102
949,949,949,187.455,37.0296
904,904,904,183.131,37.1002
901,901,901,186.935,38.7863
837,837,837,177.799,37.7706
924,924,924,200.964,43.7104
888,888,888,197.606,43.9749
868,868,868,197.494,44.937
913,913,913,212.232,49.3362
914,914,914,217.12,51.5787
910,910,910,220.689,53.5222
925,925,925,228.911,56.6509
879,879,879,221.95,56.0449
852,852,852,219.439,56.5199
888,888,888,233.067,61.1733
877,877,877,234.572,62.7432
881,881,881,240.075,65.4231
842,842,842,233.632,64.8284
860,860,860,242.912,68.6138
856,856,856,246.074,70.7404
829,829,829,242.416,70.8887
875,875,875,260.261,77.4143
909,909,909,274.989,83.1912
872,872,872,268.113,82.4382
892,892,892,278.734,87.1014
896,896,896,284.399,90.273
891,891,891,287.36,92.6793
909,909,909,297.675,97.4829
836,836,836,278.018,92.4584
884,884,884,298.317,100.673
935,935,935,320.22,109.671
851,851,851,295.741,102.778
833,833,833,293.611,103.492
892,892,892,318.93,114.033
932,932,932,337.815,122.447
908,908,908,333.73,122.663
879,879,879,327.43,121.971
879,879,879,331.846,125.282
858,858,858,328.208,125.55
873,873,873,338.34,131.129
832,832,832,326.562,128.178
861,861,861,342.246,136.044
864,864,864,347.707,139.932
909,909,909,370.365,150.904
855,855,855,352.642,145.448
830,830,830,346.534,144.683
868,868,868,366.726,154.942
793,793,793,339.026,144.943
853,853,853,368.892,159.534
824,824,824,360.481,157.704
897,897,897,396.947,175.662
913,913,913,408.532,182.804
880,880,880,398.219,180.204
844,844,844,386.095,176.625
847,847,847,391.747,181.189
841,841,841,393.112,183.756
925,925,925,437.034,206.487
854,854,854,407.78,194.714
864,864,864,416.845,201.112
806,806,806,392.891,191.519
872,872,872,429.467,211.517
858,858,858,426.888,212.395
860,860,860,432.183,217.19
860,860,860,436.537,221.589
906,906,906,464.372,238.017
852,852,852,440.878,228.139
909,909,909,474.883,248.092
893,893,893,471.082,248.51
899,899,899,478.732,254.934
870,870,870,467.639,251.366
908,908,908,492.529,267.166
888,888,888,486.224,266.233
893,893,893,493.371,272.583
883,883,883,492.29,274.463
890,890,890,500.61,281.586
902,902,902,511.906,290.521
918,918,918,525.489,300.807
884,884,884,510.484,294.791
882,882,882,513.779,299.286
906,906,906,532.305,312.749
887,887,887,525.499,311.331
866,866,866,517.491,309.236
862,862,862,519.372,312.933
841,841,841,510.893,310.36
881,881,881,539.611,330.513
925,925,925,571.269,352.811
875,875,875,544.657,339.032
903,903,903,566.57,355.485
932,932,932,589.407,372.749
867,867,867,552.72,352.366
862,862,862,553.824,355.827
877,877,877,567.781,367.59
887,887,887,578.762,377.64
917,917,917,602.948,396.454
918,918,918,608.186,402.932
937,937,937,625.497,417.554
923,923,923,620.724,417.443
938,938,938,635.501,430.558
923,923,923,629.953,429.949
932,932,932,640.745,440.511
948,948,948,656.545,454.697
916,916,916,638.876,445.594
893,893,893,627.234,440.564
961,961,961,679.959,481.11
970,970,970,691.191,492.523
910,910,910,652.963,468.531
906,906,906,654.588,472.944
873,873,873,635.166,462.127
1002,1002,1002,733.887,537.517
992,992,992,731.635,539.608
992,992,992,736.578,546.925
880,880,880,657.781,491.68
980,980,980,737.46,554.949
1002,1002,1002,758.948,574.854
1020,1020,1020,777.788,593.094
1080,1080,1080,828.939,636.242
990,990,990,764.769,590.781
1013,1013,1013,787.553,612.283
989,989,989,773.861,605.523
1070,1070,1070,842.599,663.528
984,984,984,779.758,617.911
1034,1034,1034,824.574,657.567
1025,1025,1025,822.624,660.207
1102,1102,1102,889.842,718.531
1081,1081,1081,878.377,713.737
1036,1036,1036,846.899,692.317
1086,1086,1086,893.247,734.707
1073,1073,1073,887.938,734.797
1032,1032,1032,859.175,715.294
1108,1108,1108,927.972,777.197
1076,1076,1076,906.539,763.769
1102,1102,1102,933.966,791.557
1127,1127,1127,960.772,819.065
1178,1178,1178,1010.18,866.266
1133,1133,1133,977.245,842.904
1157,1157,1157,1003.71,870.732
1205,1205,1205,1051.3,917.207
1176,1176,1176,1031.96,905.558
1265,1265,1265,1116.38,985.219
1230,1230,1230,1091.59,968.753
1234,1234,1234,1101.31,982.89
1273,1273,1273,1142.46,1025.31
1310,1310,1310,1182.28,1067.01
1289,1289,1289,1169.78,1061.58
1378,1378,1378,1257.49,1147.52
1381,1381,1381,1267.1,1162.61
1409,1409,1409,1299.88,1199.21
1406,1406,1406,1303.96,1209.33
1447,1447,1447,1349.25,1258.1
1484,1484,1484,1391.28,1304.35
1512,1512,1512,1425.15,1343.29
1517,1517,1517,1437.29,1361.77
1580,1580,1580,1504.95,1433.47
1652,1652,1652,1581.81,1514.6
1640,1640,1640,1578.49,1519.3
1709,1709,1709,1653.41,1599.63
1713,1713,1713,1665.87,1620.03
1745,1745,1745,1705.71,1667.31
1848,1848,1848,1815.69,1783.95
1893,1893,1893,1869.47,1846.24
1932,1932,1932,1917.61,1903.34
1878,1878,1878,1873.45,1868.92
1944,1944,1944,1948.83,1953.67
2105,2105,2105,2120.93,2136.98
2264,2264,2264,2292.37,2321.11
2281,2281,2281,2320.89,2361.48
2344,2344,2344,2396.8,2450.79
2448,2448,2448,2515.4,2584.66
2460,2460,2460,2539.98,2622.57
2380,2380,2380,2469.12,2561.58
1135,1135,1135,1182.74,1232.48
758,758,758,793.945,831.597
646,646,646,679.908,715.597
649,649,649,686.332,725.814
586,586,586,622.603,661.494
556,556,556,593.554,633.646
522,522,522,559.831,600.404
536,536,536,577.555,622.332
545,545,545,589.957,638.624
547,547,547,594.837,646.859
509,509,509,556.106,607.572
475,475,475,521.322,572.162
511,511,511,563.419,621.217
477,477,477,528.251,585.01
