#class tools::histo::h1d
#title Number of scintillation + cerenkov photons
#dimension 1
#axis fixed 280 0 1.4
#annotation axis_x.title 
#bin_number 282
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1003,1003,1003,2.48341,0.00825071
1002,1002,1002,7.49634,0.0581371
995,995,995,12.4117,0.156936
1004,1004,1004,17.5502,0.308768
977,977,977,21.9828,0.496713
972,972,972,26.7075,0.735844
1012,1012,1012,32.9014,1.07191
893,893,893,33.4975,1.25838
1019,1019,1019,43.2997,1.84211
924,924,924,43.9231,2.08978
926,926,926,48.6747,2.56048
995,995,995,57.2219,3.29294
1039,1039,1039,64.9401,4.06114
908,908,908,61.3253,4.14358
1002,1002,1002,72.6286,5.26657
894,894,894,69.2982,5.37357
973,973,973,80.2165,6.61532
915,915,915,79.9819,6.99315
966,966,966,89.3824,8.27249
983,983,983,95.8326,9.34468
952,952,952,97.5373,9.99516
922,922,922,99.0956,10.6526
927,927,927,104.274,11.7313
885,885,885,103.969,12.216
993,993,993,121.638,14.9021
974,974,974,124.13,15.8215
933,933,933,123.622,16.3819
916,916,916,125.963,17.3236
876,876,876,124.9,17.8102
955,955,955,140.818,20.766
946,946,946,144.178,21.9759
937,937,937,147.641,23.2652
904,904,904,146.953,23.8903
951,951,951,159.317,26.6915
943,943,943,162.67,28.0629
881,881,881,156.39,27.7631
907,907,907,165.496,30.1993
972,972,972,182.222,34.1632
925,925,925,178.028,34.2657
899,899,899,177.48,35.0398
934,934,934,189.079,38.279
913,913,913,189.39,39.2886
872,872,872,185.259,39.3609
847,847,847,184.217,40.0678
880,880,880,195.826,43.579
862,862,862,196.106,44.6159
869,869,869,202.01,46.9618
889,889,889,211.16,50.1574
922,922,922,223.524,54.1918
923,923,923,228.539,56.5892
864,864,864,218.182,55.0984
880,880,880,226.536,58.3185
814,814,814,213.647,56.0764
879,879,879,235.051,62.8563
822,822,822,223.963,61.0229
871,871,871,241.677,67.0604
888,888,888,250.75,70.8074
846,846,846,243.265,69.952
823,823,823,240.649,70.3687
797,797,797,237.072,70.5198
906,906,906,274.047,82.8958
872,872,872,268.135,82.4518
854,854,854,266.8,83.3535
866,866,866,274.982,87.3171
859,859,859,276.999,89.3245
865,865,865,283.182,92.7094
861,861,861,286.272,95.1841
862,862,862,290.826,98.1218
855,855,855,292.847,100.305
859,859,859,298.5,103.73
882,882,882,310.942,109.622
